der Abend,evening
alles,everything
antworten,answer
auch,also/too
auf,on
aus,from
die Aussage,statement
bisschen,a little/a bit
bitte,please/thank you
danke,thank you
dann,then
das,the (neuter noun)
der,the (masculine noun)
Deutsch,German
der Dialog,Dialogue
die,the (feminine noun)
dir,(to) you
du,you
"ein, eine",a/one
die Entschuldigung,apology
er,he
es,it
die Form,form/type
die Frage,question
fragen,ask
die Frau,woman/mrs
ganz,whole
gehen,to do/ to go
die Grammatik,grammar
gut,good
hallo,hello
heißen,to be called 
der Herr,man/mr
hören,hear
ich,I/me
Ihnen,(to) you (formal)
ihr,her/their
im,in
ja,yes
klar,of course
kommen,to come from
Der Kurs,course
Der Kursteilnehmer,course participant (male)
Die Kursteilnehmerin,course participant (female)
Das Land,country
lesen,read
Der Mann,man
"mein, meine","my, mine"
mit,with
morgen,tomorrow
Die Nacht,night
Der Name,name
nein,no
neu,new
nicht,not
oder,or
Die Person,person
richtig,correct
Der Satz,sentence
schreiben,write
sehr,very
sein,to be
sie,they
Sie,they
so,you
Die Sprache,so
sprechen,language
supergut,very good
Der Tag,day
Tschüss,bye
und,and
was,what
welche,which
wer,who
Das Wiedersehen,good bye
wie,how
wissen,to know
wo,where
woher,where from
das Wort,word
aber,but
Die Adresse,address
alt,old
anmelden,register
Die Anmeldung,registration
arbeiten,work
das Bild,image/photo
Der Bruder,brother
buchstabieren,to spell
"dein, deine",your/yours
einmal,once again
Die Eltern (Pl.),parents
falsch,wrong
die Familie,family
der Familienname,surname
der Familienstand,marital status
das Formular,form
geschieden,divorced/separated
die Geschwister (Pl.),siblings
haben,to have
die Handynummer,mobile number
die Hausnummer,house number
das Heimatland,home country
hier,here
"Ihr, Ihre",your (formal) / yours (formal)
in,in
die Information,information
das Jahr,year
jetzt,now
"kein, keine",no/none
das Kind,child
der Kindergarten,nursery
der Kontakt,contact
leben,to live
ledig,single
die E-Mail,email
möchten,to like
die Mutter,mother
nach,after
der Nachname,last name
noch,also
die Postleitzahl,postcode
die Schwester,sister
die Schwägerin,sister-in-law
die Schwiegertochter,step-daughter
der Schwiegervater,step-father
der Sohn,son
die Straße,street
die Telefonnummer,telephone number
die Tochter,daughter
über,about / over
der Vater,father
vergleichen,compare
verheiratet,married
verwitwet,widowed
"viel, viele",many
der Vorname,forename
vorstellen,introduce
"welcher, welche, welches",which
willkommen,welcome
wir,we
wohnen,to live
der Wohnort,place of residence
die Zahl,number
zu,to
also,well
an,to
andere,other
benutzen,use
das Blatt,sheet (of paper)
der Bleistift,pencil
das Buch,book
da,there
der Deutschkurs,German course
der Dienstag,Tuesday
doch,indeed
Der Donnerstag,Thursday
endlich,finally
erklären,to explain 
erzählen,to explain
Das Familienfoto,family photo
Der Feiertag,public holiday
Das Fenster,window
Das Foto,photo
fragen,ask
Der Freitag,Friday
Der Freund,friend
für,for
genau,exactly
gestern,yesterday
groß,big
Der Gruß,greeting
Die Hausaufgabe,homework
Das Heft,booklet
heute,today
ihr,their/your
immer,always
Die Karte,card/map
klein,small
knifflig,tricky
Der Kugelschreiber (Kuli),ball-point pen (biro)
Das Kursbuch,course book
Der Kursraum,classroom
Die Lampe,lamp
Die Landkarte,map
langsam,slowly
Der Lehrer,teacher (male)
Die Lehrerin,teacher (female)
lernen,to learn
lesen,to read
liebe,dear
die Liste,list
machen,to make
mir,(to) me
Mittwoch,Wednesday
Montag,Monday
natürlich,of course
nett,nice
das Papier,paper
der Papierkorb,waste paper bin
die Pause,break
das Problem,problem
der Projektor,projector
der Radiergummi,eraser
der Raum,room
der Rucksack,backpack
die Sache,thing
sagen ,to say
der Samstag,Saturday
sehen,to see
Die Seite,page
Der Schlüssel,key
schnell,fast
Der Sonntag,Sunday
Der Spaß,fun
spielen,to play
der Spitzer,pencil sharpener
der Stuhl,chair
die Tabelle,table
die Tafel,black/white board
die Tasche,bag
der Text,text
der Tisch,table
die Tür,door
übermorgen,the day after tomorrow
Die Übung,exercise
Das Übungsbuch,exercise book
verstehen,to understand
vorgestern,the day before yesterday
Die Wand,wall
Die Woche,week
Das Wochenende,weekend
Das Wörterbuch,dictionary
zeigen,to show
der Zettel,note
zusammen,together
das Angebot,offer
die Antwort,answer
der Apfel,apple
der Apfelsaft,apple juice
die Aufgabe,task
die Babynahrung,baby food
die Banane,banana
der Becher,container
das Beispiel,example
das Bier,beer
die Birne,pear
das Bistro,bistro/café
die Blaubeere,blueberry
die Bohne,bean
brauchen,to need
das Brot,bread
das Brötchen,bread roll
der Cent,cent
die Cola,cola
der Couscous,couscous
denn,because
"diese, dieser, dieses",this
die Dose,jar
durch,through
das Ei,egg
der Einkaufszettel,shopping list
einige,a few
die Erbse,pea
die Erdbeere,strawberry
essen,to eat
etwas,something
fertig,finished
der Fisch,fish
die Flasche,bottle
das Fleisch,meat
frisch,fresh
das Frühstück,breakfast
frühstücken,to breakfast
gemeinsam,together
das Gemüse,vegetables
gern,very much
das Getränk,drink
das Glas,glass
gleich,the same
das Gramm,gram
die Himbeere,raspberry
der Honig,honey
der Joghurt,yoghurt
der Kaffee,coffee
die Kartoffel,potato
der Käse,cheese
kaufen,to buy
der Keks,biscuit
die Kichererbse,chickpea
das Kilo,kilo
die Kirsche,cherry
die Kiwi,kiwi
die Kontrolle,control
kosten,to cost
der Kuchen,cake
der Kunde,customer (male)
die Kundin,customer (female)
kurz,short
das Lammfleisch,lamb meat
das Lebensmittel,groceries
die Limonade (Limo),lemonade
der Liter,litre
man,one/you
die Mandarine,mandarine
die Mango,mango
der Markt,market
die Marmelade,jam
das Mehl,flour
meistens,mostly
die Mengenangabe,amount
die Melone,melon
die Milch,milk
Das Milchprodukt,dairy product
mögen,to like
Die Möhre,carrot
müssen,to have to
nehmen,to take
Die Nudel,pasta/noodles
nur,only
Das Obst,fruit
der Obstsalat,fruit salad
Das Olivenöl,olive oil
Die Orange,orange
ordnen,to order
Die Packung,packaging
Die Paprika,pepper
Der Partner,partner (male)
Die Partnerin,partner (female)
Das Pfund,pound
Der Pilz,mushroom
planen,to plan
Der Preis,price
pro,per
Der Pudding,pudding
Der Reis,rice
Das Rindfleisch,beef
Der Saft,juice
Die Sahne,cream
Der Salat,salad
Das Salz,salt
sich,oneself
schmecken,to taste
Die Schokolade,chocolate
schön,beautiful
Das Schweinefleisch,pork
sonst,otherwise
stehen,to stand
streichen,to paint
Das Stück,piece
Die Tasse,cup
Der Tee,tea
teuer,expensive
Der Tipp,tip
Die Tomate,tomato
Traube,grape
trinken,to drink
unterstreichen,to emphasize
verbinden,to connect
Der Verkäufer,salesperson (male)
die Verkäuferin,salesperson (female)
von,from
das Wasser,water
Der Wein,wine
Die Zitrone,lemon
Der Zucker,sugar
