Die Ampel/Ampeln,traffic lights
Die Ankunftszeit,arrival time
Die Ansage/Ansagen,announcement
Die Apotheke/Apotheken,pharmacy
Der Arzt/Ärzte,doctor
Die Ärztin/Ärztinnen,female doctor
Die Auskunft,information
außerdem,also
außerplanmäßig,unscheduled
Das Auto/Autos,car
Die Bahn,train
Der Bahnhof/Bahnhöfe,train station
Der Ball/Bälle,ball
Die Bank,bank
bezahlen,to pay
Die Bibliothek,library
Das Bürgerbüro,local city office
Der Bus/Busse,bus
Die Bushaltestelle/Bushaltestellen,bus stop
Das Café/Cafés,café
dafür,for that
dritte,third
Die Durchsage,announcement
einfach,easy
Die Einzelfahrkarte,single ticket
erste,first
Der Erwachsene/Erwachsenen,adult
fahren,to travel
Der Fahrgast/Fahrgäste,passenger
Die Fahrkarte,travel ticket
Das Fahrrad/Fahrräder,bicycle
fallen,to fall
fast,nearly
Der Flughafen/Flughäfen,airport
Das Gebäude/Gebäude,building
geben,to give
gegenüber,opposite
geradeaus,straight ahead
Das Gleis/Gleise,platform
gültig,valid
halten,to stop
Die Haltestelle/Haltestellen,stop/station
Der Hauptbahnhof,main train station
hinter,behind
Das Hotel/Hotels,hotel
Der Informationsschalter,information desk
Der Intercity /IC,intercity
Das Jobcenter,job centre
Das Kino,cinema
Die Kirche,church
Das Krankenhaus,hospital
Die Krankenkasse,health insurance
Die Kreuzung,crossroads
Die Kurzstrecke,short-haul
Die Linie,line
links,left
Die Lösung,solution
Der Meter,metre
Der Metzger,butcher
Die Minute,minute
Die Mobilität,mobility
Das Motorrad,motorcycle
nachfragen,to ask about
nächste,next
nichts,nothing
öffentlich,public
Die Orientierung,orientation/bearings
Der Park,park
Die Parkgebühr,parking fee
Der Parkplatz,car park
Die Polizei,police
Die Position,police station
Die Post,post office
praktisch,practical
rechts,right
Das Rathaus,city hall
Die Regionalbahn,regional train
Das Restaurant,restaurant
Die Ruhe,quiet
Der Schienenersatzverkehr,replacement bus service
Das Schwimmbad,swimming pool
selten,rarely
sowieso,anyway
später,later
Der Stadtplan,city map
Der Stadtwald,city forest
steigen,to climb
Die Straßenbahn,tram
Die Tageskarte,day ticket
Das Taxi,taxi
überall,everywhere
umsteigen,to change
ungefähr,around
unter,under
Die Verfügung,availability
Das Verkehrsmittel,means of transport
verstanden,understood
verzögern,to hesitate
Die Volkshochschule /VHS,adult education centre
voll,full
vorbei,past/over
vorne,at the front
warten,to wait
Der Weg,path
Der Winter,winter
Der Wochenmarkt,weekly market
wohin,where to
wollen,to want
Der Zug,train
zweimal,twice
zweite,second
zwischen,between
anfangen,to start
Der Arbeitstag,work day
Die Ausbildung,education
ausfüllen,to fill out
Die Aushilfe,help
Der Automechaniker,car mechanic (male)
Die Automechanikerin,car mechanic (female)
backen,to bake
Der Bäcker,baker (male)
Die Bäckerin,baker (female)
bald,soon
berichten,to report
Der Beruf,career
beruflich,professionally
Die Bürokauffrau,office administrator (female)
Der Bürokaufmann,office administrator (male)
Der Chef,boss (male)
Die Chefin,boss (female)
Das Computerprogramm,computer programme
Das Computersystem,computer system
dauern,to last
dreimal,three times
Der Fahrer,driver
fangen,to catch
Der Feierabend,finishing time
flexibel,flexible
fotografieren,to photograph
freundlich,friendly
Der Führerschein,driver's license
Der Fußballspieler,football player
Die Gitarre,guitar
halbtags,halfdays
Die Hausfrau,housewife
Der Hausmann,househusband
Der Hund,dog
installieren,to install
Die Kantine,cantine
kaputt,broken
Die Kasse,cash register
Der Kassierer,cashier (male)
Die Kassiererin,cashier (female)
Kauffrau,business woman
Der Kellner,waiter (male)
Die Kellnerin,waiter (female)
klingeln,to ring
Der Koch,chef (male)
Die Köchin,chef (female)
Der Kollege,colleague (male)
Die Kollegin,colleague (female)
Das Konzert,concert
korrigieren,to correct
Das Kraftfahrzeug /KFZ,motor vehicle
Der Krankenpfleger,nurse
Die Krankenschwester,nurse
kreativ,people
langweilig,boring
Die Leute /Pl.,people
Die Mathematik,mathematics
Der Mechaniker,mechanic
Der Mensch,person
Das Mittagessen,lunch
Der Moment,moment
Der Musiklehrer,music teacher (male)
Die Musiklehrerin,music teacher (female)
Der Nachtdienst,night shift
organisieren,to organise
Der Pizzafahrer,pizza driver
Die Pizzeria,pizzeria
Die Pflege,care
prüfen,to check
pünktlich,on time
Das Radio,radio
rechnen,to calculate
Der Rentner,pensioner
Die Reparatur,repair
reparieren,to repair
Der Reporter,reporter
Der Roman,novel
schlimm,bad
Der Schüler,schoolchild (male)
Die Schülerin,schoolchild (female)
servieren,to serve
Der Stress,stress
