Die Abendkasse,box office
abholen,to collect
aktuell,current
alle,all
anklicken,to click
Die App,app
aussuchen,to choose
Der Benutzername,user name
bestellen,to order
chatten,to chat
Die Datei(Dateien),file
dich,you
diskutieren,to discuss
drucken,to print
Der Eintritt(Eintritte),entry
empfehlen,to recommend
Die Empfehlung(Empfehlungen),recommendation
flirten,to flirt
Der Flohmarkt(Flohmärkte),flea market
Das Forum,forum
funktionieren,to work
gebraucht,used
googeln,to google
herausfinden,to find out
herunterladen,to download
hochladen,to upload
informieren,to inform
international,international
Das Internet,Internet
Das Kennwort(Kennwörter),password
Die Kinokarte,cinema ticket
klicken,to click
Der Kommentar(Kommentare),comment
kostenlos,free of charge
Das Kulturcafé,culture café
der/die Leser/in,reader
löschen,to delete
mailen,to mail
mich,me
mitkommen,to come along
mitmachen,to participate
nachschauen,to look up
Der Neffe,nephew
nervös,nervous
Newsletter,newsletter
oben,at the top
Die Politik,politics
prima,great
Das Programm(Programme),programme
Die Radtour(Radtouren),cycling tour
Der Regen,rain
Der Regenschirm,umbrella
Die Reihenfolge,order
reservieren,to book
Die Reservierung,booking
Die Rolle(Rollen),role
sinken,to decrease
Das Smartphone,smartphone
speichern,to save
Das Spielzeug,toy
starten,to begin
Die Startseite,homepage
steigen,to increase
Das Straßenfest,street party
Das Symbol(Symbole),symbol
tauschen,to swap
Die Temperatur(Temperaturen),temperature
Das Theater,theatre
Der Treffpunkt,venue
unternehmen,to undertake
Die Verabredung(Verabredungen),meet up
Die Veranstaltung(Veranstaltungen),event
Der Veranstaltungstipp(Veranstaltungstipps),event tip
Der Vorschlag(Vorschläge),suggestion
Die Welt,world
Die Wettervorhersage,weather forecast
Die Wirtschaft,economy
Das Würstchen,sausage
zeitweise,occasionally
zuhören,to listen
zuschauen,to watch
abfahren,to depart
Die Abfahrt(Abfahrten),departure
ankommen,to arrive
Die Ankunft(Ankünfte),arrival
Der Anschluss,connection
Der Anschlusszug(Anschlusszüge),connecting train
ausblenden,to fade out
ausfallen,to be cancelled
aussteigen,to get out
Das Autofahren,to drive a car
Der Automat,vending machine
Das Bahnfahren,rail travel
Der Bahnsteig,platform
bitten,to ask
buchen,to book
Die Dauer,duration
defekt,defective
deshalb,hence
drehen,to turn
drüben,over there
Die Einfahrt(Einfahrten),entry
einsteigen,to board
erhalten,to receive
erreichen,to reach
Der Fahrkartenschalter,ticket office
Der Fahrplan(Fahrpläne),schedule
Der Fernbus,long-distance bus
fliegen,to fly
Das Flugzeug(Flugzeuge),plane
Der Grund,ground
Der Halt,stop
hin,there
Die Hinfahrt(Hinfahrten),journey there
der/die Mitarbeiter/in,employee
mitnehmen,to take with
nah,close
nämlich,namely
Die Nummer,number
Die Option,option
passieren,to happen
Das Pech,bad luck
planmäßig,on schedule
preiswert,inexpensive
Die Reisemöglichkeit(Reisemöglichkeiten),travel option
Das Reiseziel,travel destination
Die Richtung(Richtungen),direction
Die Rückfahrt(Rückfahrten),return journey
der/die Schaffner/in,conductor
Das Schild(Schilder),sign
schwarzfahren,to fare-dodge
schwierig,difficult
der/die Senior/in,senior
Der Serviceschalter,service counter
sondern,but
sparen,to save
Die Station,station
Die Störung(Störungen),disruption
Die Strafe(Strafen),penalty
Die Strecke(Strecken),route
umsteigen,to change trains
Die Umwelt,environment
unterwegs,en route
Die Verbindung(Verbindungen),connection
"verehrt, verehrte",“dear”
verpassen,to miss
verschlafen,to oversleep
verspätet,late
Die Verspätung(Verspätungen),delay
Die Vorsicht,caution
wenig,little
wohl,probably
Die Zeitschrift(Zeitschriften),magazine
Der Zoo,zoo
ablesen,to read from
Die Ablesung,reading
abstellen,to turn off
afrikanisch,African
Das Altglas,waste glas
aufschließen,to unlock
ausführen,to execute
ausgeben,to spend
ausziehen,to move out
beachten,to consider
bedeuten,to mean
Der Beinbruch,leg fracture
berufstätig,employed
Die Beschwerde,complaint
besichtigen,to visit
Der Bezirk,district
Der Biomüll,biowaste
Die Biotonne,biowaste container
Das Brett,board
Der Briefkasten,mailbox
darum,therefore
dass,that
Ecke,corner
Die Einbauküche,built-in kitchen
einrichten,to furnish
Die Einweihungsparty,housewarming party
Die Einwurfzeit(Einwurfzeiten),time slot for putting out rubbish
einziehen,to move in
Der Einzug,move in
entsorgen,to dispose of
erfolgen,to take place
Der Fahrradständer,bicycle stand
Die Fernwärme,remote heating
Das Gas,gas
Gassi gehen,to walk the dog
gehören,to belong
gesondert,separate
Der Glascontainer,bottle bank
der/die Hausbewohner/in,house resident
