Der Abfall/Abfälle,rubbish
Der Abflug,departure
Die Absage,cancellation
aktiv,active
Der Alkohol,alcohol
angenehm,pleasant
annulliert,cancelled
Die Anzeigetafel,bulletin board
Der Aufruf,call
Der Ausgang,exit
Die Ausstattung,equipment
Der Behälter,container
betreten,to enter
der/die Bewohner/in,resident
Die Bordkarte,boarding pass
der/die Camper/in,camper
Der Campingplatz,campsite
Der Check-in-Schalter,check-in desk
Der Container,container
Die Dienstreise,business trip
Das Doppelbett,double bed
Das Doppelzimmer,double room
einchecken,to check-in
Die Einsteigezeit,boarding time
Das Einzelzimmer,single room
erleben,to experience
Der Flug/Flüge,flight
der/die Flugbegleiter/in,flight attendant
Der Fluggast/Fluggäste,passenger
Fluggesellschaft,airline
Die führen,to lead
füttern,to feed
Das Gate,gate
Das Gepäck,luggage
Die Gepäckausgabe,baggage reclaim
Das Gepäckband,luggage belt
gestattet sein,to be permitted
Die Halbpension,half-board
Das Handgepäck,hand luggage
historisch,historical
Das Hostel,hostel
hygienisch,hygienic
Das Inlineskaten,inline skating
Die Jugendherberge,youth hostel
Der Katalog,catalogue
klettern,to climb
komfortabel,comfortable
Die Lage,site
Das Lagerfeuer,campfire
landen,to land
Der Lärm,noise
Die Lautsprecherdurchsage,tannoy announcement
lebhaft,lively
Die Leine,rope
Der Leuchtturm,lighthouse
Der Meerblick,Sea view
mitten,middle
Der Nebel,fog
neblig,foggy
Das Paradies,paradise
der/die Passagier/in,passenger
Die Passkontrolle,passport control
Der Pilotenstreik,pilot strike
Der Pool,pool
rechtzeitig,on time
Das Reisebüro,travel agency
Der Reiseplan,itinerary
Die Reiseplanung,travel planning
reiten,to ride
Die Ruhezeit,rest period
sauber,clean
Die Sauberkeit,cleanliness
Der Schalter,desk
Die Schlange,snake
Der Sonnenschirm,parasol
Die Sonnenterrasse,sun terrace
Der Sonnenuntergang,sunset
Der Stern/Sterne,star
stören,to disturb
Das Streichholz,match
streiken,to strike
Die Taschenlampe,torch
Das Taschenmesser,pocket knife
traumhaft,wonderful
übernachten,to stay overnight
Die Übernachtung,overnight stay
Die Übernachtung mit Frühstück /ÜF,overnight stay with breakfast
Die Umgebung,surroundings
umgehend,immediately
verärgert,annoyed
verreisen,to travel
verschieben,to postpone
Der Wanderer,hiker
Die Wandertour,walking tour
Der Waschraum,laundry room
Der Wohnwagen,caravan
Das Zelt,tent
Der Zoll,customs
Der Zuschlag/Zuschläge,fees
absprechen,to arrange
Der Abstellplatz,parking space
akzeptieren,to accept
anstreichen,to paint
Der Ärger,trouble
ärgerlich,annoying
Die Aufregung,commotion
Die Ausnahme,exception
Das Balkongeländer,balcony railing
befestigen,to secure
behalten,to keep
beleidigen,to offend
Die Beleidigung,insult
berechtigt,justified
beschimpfen,to insult
Die Beschimpfung,swear
beschweren,to complain
Der Blumentopf,flower pot
bohren,to drill
deswegen,that is why
dumm,stupid
eilig,urgent
einhalten,to comply
einlegen,to insert
einstellen,to set up
enden,to end
Die Entscheidung,decision
entspannend,relaxing
entsprechen,to correspond to
erhöhen,to increase
erleichtern,to relieve
erwähnen,to mention
eskalieren,to escalate
exotisch,exotic
fair,fair
festkleben,to stick
Die Freude,joy
Die Frist,deadline
fristgerecht,punctual
fristlos,without notice
Der Gemeinschaftsraum,common room
gesetzlich,legal
hämmern,to hammer
heizen,to heat
Die Instandhaltung,maintenance
klug,clever
Der Konflikt,conflict
Die Kündigung,termination
lüften,to air
massiv,solid
meckern,to whinge
Das Meerschweinchen,guinea pig
Die Mieterhöhung,rent increase
Der Mietspiegel,rent index
Der Mietvertrag,rental contract
Die Modernisierung,modernization
nachsehen,to check
neugierig,curious
obwohl,although
offenbar,obvious
protestieren,to protest
der/die Richter/in,judge
Die Rücksicht,consideration
sammeln,to collect
sauer,sour
Der Schaden,damages
schmutzig,dirty
selbstverständlich,of course
sinnlos,meaningless
sinnvoll,meaningful
sortieren,to sort
stinken,to stink
streiten,to argue
total,totally
treu,faithful
überlegen,to think about
üblich,normal
unglaublich,unbelievable
Das Unrecht,unjust
Das Urteil,judgement
vergleichbar,comparable
verpflichten,to compel
das Verständnis,understanding
Der Verstoß,violation
verstoßen,to violate
völlig,completely
vorher,before
wegräumen,to clear away
Der Widerspruch,contradiction
wütend,angry
Der Zeitraum/Zeiträume,time frame
ziemlich,rather
Die Zimmerlautstärke,room volume
zugeben,to admit
zurücklassen,to leave behind
Das Zusammenleben,life together
zustimmen,to agree
Der Zutritt,access
Das Abgas/Abgase,exhaust gas
Das Abwasser,sewage
Das Altö,waste oil
Das Altpapier,waste paper
Das Aluminium,aluminium
andauernd,lasting
ankündigen,to announce
anstatt,instead
Die Begleitperson,accompanying person
belasten,to pollute
Die Belastung,pollution
beobachten,to observe
Der Beutel,bag
biologisch,biological
Die Chemikalie,chemicals
Der Deckel,lid
doof,stupid
Der Eierkarton,egg box
Die Eierschale,egg shell
einfallen,to occur
Das Elektroauto,electric car
Das Energiesparhaus,energy efficient house
Die Energiesparlampe,energy efficient bulb
Das Erdbeben,earthquake
Die Erde,earth
Die Erderwärmung,global warming
Die Erlaubnis,permission
der/die Förster/in,woodsman
Der Gegenstand,object
Der Gegenvorschlag,counterproposal
giftig,toxic
Der Haushalt,household
Das Hochwasser,high-tide
der/die Hörer/in,listener
Der Kaffeefilter,coffee filter
Das Klima,climate
Der Klimawandel,climate change
Die Konservendose,preserving jars
Der Kunststoff,synthetic material
Die Luft,air
Die Matratze,mattress
Das Metall,metal
Der Milchkarton,milk carton
Die Mülltonne,rubbish bin
Die Mülltrennung,waste separation
Die Naturkatastrophe,natural disaster
Das Naturprodukt,natural product
Die Obstschale,fruit skin
Der Papiermüll,paper waste
Die Pappe,cardboard
Das Picknick,picnic
Der Planet/Planeten,planet
Das Plastik,plastic
recyceln,to recycle
Der Sack/Säcke,bag
Die Sammelstelle,collection point
schädigen,to damage
schädlich,harmful
Der Schadstoff/Schadstoffe,hazardous substance
schützen,to protect
Die Solarenergie,solar energy
Der Sondermüll,hazardous waste
Der Sonnenschein,sunshine
Die Sorge,worry
sparsam,economical
Der Sperrmüll,bulky waste
stattfinden,to take place
Der Tierschutz,animal protection
Das Trinkwasser,drinking water
trüb,gloomy
Der Tsunami,tsunami
Der Turm,tower
umdrehen,to turn around
umgehen,to go round
umweltfreundlich,environmentally friendly
Der Umweltschutz,environmental protection
Die Umweltverschmutzung,environmental pollution
Das Unwetter/Unwetter,thunderstorm
verändern,to change
verlaufen,to continue
verschmutzen,to contaminate
verschwenden,to disappear
Die Verschwendung,waste
versprechen,to promise
verwerten,to exploit
voraussichtlich,provisionally
vorhersagen,to predict
wahrscheinlich,probably
wegschmeißen /ugs.,to chuck out
wegwerfen,to throw away
Der Wertstoff/Wertstoffe,recyclable material
Der Wind,wind
Die Windel/Windeln,nappy
Der Wirbelsturm/Wirbelstürme,hurricane
Die Wolke/Wolken,cloud
zerstören,to destroy
Die Zerstörung,destruction
Die Zigarettenkippe,cigarette butts
zurückfahren,to go back
anfassen,to touch
Die Anprobe,fitting room
anprobieren,to try on
Die Art/Arten,type
Die Artikelnummer,item number
Die Atmung,breathing
atmungsaktiv,breathable
aufmerksam,attentive
Der Auftrag,order
Die Auftragsnummer,order number
ausliefern,to deliver
Die Auswahl,selection
Der Bankeinzug,direct debit
bereits,already
beschädigt,damaged
Die Bestellhotline,order hotline
Der Betrag/Beträge,sum
Der Bezahlvorgang,payment process
Das Callcenter,call centre
Der Datenschutz,data protection
dicht,thick
durchlässig,permeable
ebenso,as well
eher,rather
Das Eigentum,property
Die Ergänzung,addition
erhältlich,available
eventuell,possible
falls,in case
Der Gutschein,voucher
herstellen,to manufacture
Die Herstellung,manufacture
Das Impressum,imprint
innerhalb,within
irgendwie,somehow
Der Kauf,purchase
Die Kaufbestätigung,purchase confirmation
der/die Käufer/in,customer
Der Kaufvertrag,sales contract
Die Kosmetik,cosmetics
Die Kundenbefragung,customer survey
kundenfreundlich,customer friendly
Das Lager,warehouse
lieferbar,in stock
Die Lieferbedingung,delivery conditions
Die Lieferung,delivery
luftdurchlässig,breathable
Die Mehrkosten /Pl.,extra costs
Die Nachnahme,cash on delivery
Der Nachteil,disadvantage
Der Onlineeinkauf,online shopping
Der Onlineshop,online shop
Das Onlineshopping,online shopping
Das Paket,parcel
Der Paketbote,parcel carrier
Der Paketdienst,parcel service
Das Porto,postage
portofrei,postage paid
Die Portokosten /Pl.,postage
produzieren,to produce
Die Qualität,quality
Die Reklamation,complaint
Die Retoure/Retouren,return order
Der Retourenschein,return order slip
Die Rücksendung,return delivery
Das Shopping,shopping
unverbindlich,non-binding
der/die Verbraucher/in,consumer
verpacken,to package
Der Versand,shipping
Die Versandkosten /Pl.,shipping fee
versandkostenfrei,free of shipping costs
Die Versandkostenpauschale,flat shipping rate
versenden,to send
Die Ware/Waren,goods
Der Warenkorb,basket
wasserdicht,waterproof
Der Werktag/Werktage,working day
wetterfest,waterproof
widerrufen,disclaimer
