abschicken,to submit
Die Abwicklung,settlement
amtlich,official
anerkennen,to recognise
Die Anerkennung,recognition
Der Anfang(Anfänge),beginning
ansteckend,infectious
ausstellen,to issue
Die Bearbeitung,processing
beglaubigen,to certify
Die Beglaubigung,certification
der/die Bekannte(Bekannten),acquaintance
benötigen,to require
berufen,to appoint
bescheinigen,to certify
dran sein,to be for it
einreichen,to submit
enttäuschen,to disappoint
Die Enttäuschung(Enttäuschungen),disappointment
Der Erhalt,receipt
Die Erklärung(Erklärungen),explanation
erkundigen,to enquire
Die Fähigkeit(Fähigkeiten),ability
Die Fantasie,phantasy
Die Formalität(Formalitäten),formality
förmlich,formal
Die Fotokopie(Fotokopien),photocopy
Der Frieden,peace
Das Führungszeugnis,certificate of good conduct
garantieren,to guarantee
Der Gedanke(Gedanken),thought
Die Geduld,patience
geduldig,patient
Die Gemeinsamkeit,common feature
Der Geruch(Gerüche),smell
Das Gesundheitszeugnis,health certificate
gewährleisten,to ensure
häufig,often
Das Heimweh,home sickness
herkommen,to come from
Das Herkunftsland,country of origin
hierher,here
hilfsbereit,ready to help
inzwischen,meanwhile
Die Kopie,copy
Die Mentalität,mentality
nachdenklich,thoughtful
der/die Pflegehelfer/in,nursing assistant
Die Pflegekraft,carer
Die Reihe,row
der/die Sachbearbeiter/in,administrative assistant
Der Sprachnachweis,language certificate
übereinstimmen,to correspond
überglücklich,overjoyed
übersetzen,to translate
Die Übersetzung,translation
Das Übersetzungsbüro,translation agency
ungeduldig,impatient
vermissen,to miss
verurteilen,to judge
wahr,TRUE
weitergehen,to continue
wohlfühlen,to feel comfortable
Das Ziel,aim
zügig,quick
zusammenstellen,to put together
abhängig,dependent
absolvieren,to complete
der/die Abteilungsleiter/in,division manager
abwechslungsreich,varied
der/die Altenpfleger/in,geriatric nurse
Die Anlage,system
Die Annahme,acceptance
anrechnen,to charge
Die Anstellung,employment
Die Arbeitsstelle,position
Die Arbeitsweise,working method
Die Arbeitszeit,working hours
Die Assistenz,assistance
Die Aufteilung,allocation
Der Auszug,extract
Der Bachelor,Bachelor's degree
beherrschen,to master
beilegen,to enclose
Die Berufsbezeichnung,job description
Die Berufserfahrung,job experience
Das Berufsleben,professional life
Die Betriebswirtschaft,business administration
beurteilen,to evaluate
Das Bewerbungsschreiben,letter of application
der/die Bilanzbuchhalter/in,accountant
bisher,until now
Das Briefpapier,letter paper
Das Büromaterial,office stationary
Die Bürozeit,office hours
Das Catering,catering
daneben,besides
eigenverantwortlich,independent
eingehen,to enter
einschreiben,to inscribe
Das Eintrittsdatum,entry date
Der Empfang,reception
empfangen,to receive
englischsprachig,in English
entnehmen,to take from
Die Erstellung,creation
färben,to colour
Das Fax,fax
Die Festanstellung,full-time position
festlegen,to determine
finanziell,financial
Das Finanzwesen,finance
Der Firmensitz,registered office
fließend,fluent
Der Föhn,hairdryer
fordern,to demand
Die Formulierung,wording
Die Fortbildung,further education
Die Frisur,hairdresser
Die Gehaltsvorstellung,desired salary
der/die Geschäftsführer/in,managing director
Die Geschäftsführung,management
gleichzeitig,at the same time
Die Handlung,conduct
Die Herausforderung,challenge
individuell,individual
insofern,provided
intern,internal
Die Jobbezeichnung,job description
Der Kamm,comb
Die Kommunikationsstärke,strong communication skills
kommunikativ,communicative
Der Konferenzraum,conference room
Die Kontaktdaten (Pl.),contact details
kümmern,to take care of
leistungsgerecht,performance-based
leiten,to lead
der/die Manager/in,manager
Der Maschinenbau,engineering
meistern,to master
der/die Millionär/in,millionaire
mittelständisch,middle-class
nachdem,after
Das Niveau,level
Das Original,original
Der PC,PC
Der Posteingang,inbox
Die Probezeit,probationary period
Die Qualifikation,qualification
regeln,to control
der/die Sales Manager/in,sales manager
schneiden,to cut
Das Schreiben,correspondence
seitdem,since then
der/die Selbstständige,self-employed person
senden,to broadcast
Das Seniorenheim,old people's home
soweit,so far as
Die Speise,dish
spezialisieren,to specialise
Die Stellenanzeige,job advertisement
Der Steuerberater,tax consultant
Das Steuerberatungsbüro,tax consultancy firm
Die Teamfähigkeit,ability to work in a team
Die Telekommunikation,telecommunication
Der Terminkalender,appointment calendar
