Das Altgerät/Altgeräte,old device
Die Anfrage/Anfragen,request
Das Angebotsschreiben,offer letter
Der Anhang/Anhänge,attachment
anlässlich,on the occasion of
Die Ansicht,view
Die Anzahl,quantity
Der Apothekerschrank,chemist’s cupboard
Die Arbeitsplatte,work surface
Der Atlantik,atlantic
Der Aufpreis,surcharge
Die Auftragserteilung,order placement
Die Ausgabe,issue
ausschließlich,exclusively
Der Ausschnitt,section
Das Autohaus,car showroom
bankrott,bankrupt
binnen,within
Das Budget,budget
Das Cerankochfeld,ceramic hob
"cif /= cost, insurance, freight","cif (= cost, insurance, freight)"
Die Dunstabzugshaube,extractor hood
Der Edelstahl,stainless steel
Die Edelstahleinbauspüle,stainless steel in-built sink
Die Eilübersetzung,urgent translation
Der Eilzuschlag,urgency fee
Der Einbauherd,built-in oven
Die Einverständniserklärung,declaration of consent
Das Elektrogerät,electronic device
Die Energieeffizienzklasse,energy efficiency class
erfüllen,to fulfil
der/die Exporteur/in,exporter
Der Fachtext,specialist text
der/die Fahrradhändler/in,bicycle dealer
Die Fahrzeugbrief,vehicle registration document
Das Firmengelände,company property
fob /= free on board,fob (= free on board)
Die Front,front
frühestens,at the earliest
gängig,common
Die Garantie,guarantee
gelten,to apply
Der Gesamtpreis,total price
der/die Geschäftspartner/in,business partner
Die Geschäftszeit,opening times
glänzend,shiny
Der Griff,handle
Hängeeckschrank,hanging corner cabinet
Hängeschrank,hanging cabinet
Herdumbauschrank,cupboard enclosing oven
höchstens,at most
Informationsblatt,information sheet
Kilometerstand,mileage
Kindersitz,children’s seat
Kondition,condition
Küchenzeile,kitchen unit
Kundenbewertung,customer rating
Landesgrenze,country border
Laufschuh,running shoe
lauten,to sound
Lieferkosten /Pl.,delivery costs (pl.)
Marmoroptik,marble-look
Mehrwertsteuer,value added tax
mitteilen,to communicate
MwSt /= Mehrwertsteuer,VAT (= value added tax)
netto,net
Nettopreis,net price
niedrig,low
Operation,operation
perlmuttfarben,pearly
Personalversammlung,personal collection
Plattform,platform
Preisreduzierung,price reduction
Produktionskosten /Pl.,production costs (pl.)
Rabatt,discount
Ratenzahlung,payment in instalments
Rest,remainder
Risiko,risk
Selbstauskunft,self-disclosure
Set,set
Skonto,discount
Sonderwunsch,special request
Spülenumbauschrank,cupboard enclosing sink
Tageszeit,time of day
Transportschiff,transport ship
Übersetzerdienst,translation service
Umbauarbeit,renovation work
unfallfrei,without accident
ungenau,inaccurate
Der Unterschrank,lower cabinet
Die Verhandlungsbasis,negotiating basis
Das Verhandlungsgespräch,negotiation
verschicken,to despatch
verschiffen,to ship
verschmutzt,dirty
Die Vorauszahlung,payment in advance
Die Vorerkrankung,pre-existing illness
Der Wagen,vehicle
wählbar,selectable
Das Werk,factory
Die Zeile,line
Die Zeitdauer,duration
zeitgleich,at the same time
zerkratzt,scratched
Die Zuordnung,allocation
zutreffen,to be applicable
abbuchen,to deduct
Das Achtel,eighth
Die Aktionswoche,promotional week
Der Angebotspreis,promotional price
anschaffen,to acquire
anstellen,to employ
Der Artikelbezeichnung,article description
aufgeben,to give up
aufstellen,to arrange
Der Augenblick,moment
Die Außenbeleuchtung,external lighting
Die Barzahlung,cash payment
Die Baumwolle,cotton
der Bestandskunde,existing customer
Das Bestellformular,order form
betrachten,to regard
Die Bezeichnung,description
Der Bezug,reference
bislang,until now
Der Bücherflohmarkt,book flea market
Die Bücherkiste,book box
Das Bücherregal,bookshelf
Der Bücherschrank,book cupboard
cremeweiß,cream
dahin,there
Das Darlehen,loan
Das Design,design
Das Drittel,third
dunkelblau,dark blue
dunkelgrau,dark green
eh /ugs.,huh (coll.)
einholen,to gather
eintragen,to enter
Der Einzelpreis,unit price
Die Elternzeit,parental leave
erfragen,to inquire
ergeben,to yield
fällig,due
Der Farbakzent,touch of colour
fertigmachen,to make ready
Das Festgeld,fixed deposit
frühlingsgrün,spring green
gegenstandslos,devoid of purpose
Der Gesamtbetrag,total amount
Die Gesamtsumme,sum total
Die Grünpflanze,green plant
Die Handyzahlung,mobile payment
hellgrau,light green
hervorragend,excellent
hinstellen,to place
hinterlassen,to leave behind
Die Innenbeleuchtung,internal lighting
Das Jahresende,end of the year
Der Kaffeevollautomat,coffee machine
Die Kartenzahlung,card payment
Das Kissen,cushion
Der Kissenbezug,cushion cover
klären,to clarify
klarkommen,to manage
Der Lagerraum,storage room
Die Lastschrift,direct debit
Die Leseecke,reading corner
Das Leuchtmittel,lamp
machbar,do-able
Die Mahnung,reminder letter/warning
Die Mikrowelle,microwave
Das Missverständnis,misunderstanding
mitgestalten,to help shape
der/die Neukunde/Neukundin,new customer
Der Onlinebezahldienst,online payment service
Die Quote,quote
reißen,to rip
relevant,relevant
renovieren,to renovate
Der Servicebereich,service area
Das Sicherheitsbedenken,security concerns
sonnengelb,sunshine yellow
Das Sparbuch,savings book
Die Stückzahl/Stückzahlen,item no.
der Taschenrechner,pocket calculator
übrig,remaining/leftover
unmodern,out of fashion
verfügbar,available
verfügen,to dispose/provide
Der Versandhandel,mail order business
Die Vertretung,representation
volljährig,of age
